ant_id,P1_duration (hours),P1_prop_twl,P2_prop_twl,Total_prop_twl
C1,1.346777778,0.960646811,0.32810242,0.524151069
C2,1.285333333,0.923884855,0.496393183,0.611116911
C3,1.129,0.997834859,0.393334385,0.583208396
C4,2.729111111,0.983124338,0.483497293,0.777496945
C5,1.322611111,0.959675726,0.361869663,0.528518401
C6,1.385,0.956919374,0.473831479,0.610952977
C7,0.976555556,0.969109114,0.440340516,0.576612371
C8,0.946166667,0.945687276,0.467036126,0.569389164
C9,1.921666667,0.988927436,0.271004776,0.584603533
C10,0.992055556,0.9375035,0.377257745,0.495088571
C11,1.366222222,0.922535784,0.723562152,0.790995411
C12,1.505611111,0.995719715,0.719927151,0.810460525
C13,1.782055556,0.982697883,0.542700756,0.731317154
C14,1.054222222,0.955364671,0.543540815,0.652381616
C15,1.099388889,0.980089949,0.716061718,0.788798864
C16,0.737388889,0.968733519,0.321299227,0.436536992
C17,0.541,0.950195112,0.522780401,0.578773896
C18,1.069111111,0.824620661,0.42620845,0.519368165
C19,3.241333333,0.983391608,0.6414279,0.930626622
C20,2.785944444,0.987058049,0.487655617,0.787642845
C21,0.971722222,0.946601109,0.26129563,0.425947802
C22,0.748944444,0.9300497,0.544614117,0.61036036
C23,1.294777778,0.892903115,0.419589065,0.54607896
C24,0.279166667,0.988059701,0.398971248,0.435586616