Ant id,#_tracked_frames_A,#_tracked_frames_L,proportion_tracked_A,proportion_tracked_L,larva_detect_frame,larva det f correct?,corrected larva det f
C1,87542,82783,0.972688889,0.919811111,11784,yes,11784
C2,90000,81138,1,0.901533333,3789,yes,3789
C3,89785,73920,0.997611111,0.821333333,25301,yes,25301
C4,87840,58620,0.976,0.651333333,6518,yes,6518
C5,89783,74206,0.997588889,0.824511111,4599,yes,4599
C6,90000,77988,1,0.866533333,2170,yes,2170
C7,85729,83400,0.952544444,0.926666667,21793,yes,21793
C8,89998,84138,0.999977778,0.934866667,2941,no,10355
C9,89973,64875,0.9997,0.720833333,10813,yes,10813
C10,89954,77052,0.999488889,0.856133333,5096,yes,5096
C11,89963,75147,0.999588889,0.834966667,17437,yes,17437
C12,87959,61912,0.977322222,0.687911111,1683,no,7442
C13,89992,65988,0.999911111,0.7332,1495,no,15172
C14,89439,82111,0.993766667,0.912344444,1311,no,18200
C15,88496,70154,0.983288889,0.779488889,18168,yes,18168
C16,89998,79628,0.999977778,0.884755556,15429,yes,15429
C17,89988,77617,0.999866667,0.862411111,15667,yes,15667
C18,89996,88200,0.999955556,0.98,7700,yes,7700
C19,90000,39636,1,0.4404,21011,yes,21011
C20,89999,48421,0.999988889,0.538011111,6518,yes,6518
C21,89964,79511,0.9996,0.883455556,17200,yes,17200
C22,89717,84129,0.996855556,0.934766667,1631,no,10968
C23,89733,82705,0.997033333,0.918944444,2791,yes,2791
C24,89920,85200,0.999111111,0.946666667,9155,yes,9155